,dataset,ARI,NMI,NCA,Silhouette,Calinski-Harabasz,Generalised Dunn
0,"('sipu', 'a1')",0.8341775122002676,0.9373440067413247,0.8400000000000001,0.4812581239366247,8538.23870975316,-0.6113912259841047
1,"('sipu', 'a2')",0.8314707927614925,0.945827241181055,0.8311764705882353,0.4864127708756577,11187.239007958022,-0.6405810011864304
2,"('sipu', 'a3')",0.8246718421265236,0.9525316823011225,0.8361904761904762,0.49304224024501525,14699.699978681576,-0.6406429986008664
3,"('sipu', 'aggregation')",0.8798629784332954,0.9188554743567828,0.8756410256410256,0.38682845403829585,746.8989578107659,-0.590023556267558
4,"('sipu', 'compound')",0.607344590942343,0.779860825333421,0.6263824117255163,0.35903943057078014,583.9032375307168,-0.770129791177922
5,"('sipu', 'd31')",0.714927370438285,0.9092531902230298,0.7649999999999999,0.40693056853743415,3297.0799042088056,-0.6875152100627071
6,"('sipu', 'flame')",1.0,1.0,1.0,0.32845555521238196,110.39056027286769,-1.1605358933237073
7,"('sipu', 'jain')",1.0,1.0,1.0,0.4024600309076855,279.4831178803378,-0.8996694946275895
8,"('sipu', 'pathbased')",0.6132723080508014,0.7307403480061668,0.759090909090909,0.4048735727597385,206.3931524436223,-1.889739029700004
9,"('sipu', 'r15')",0.7967341053876249,0.9431340128198982,0.8410714285714286,0.6000330953354592,1629.0017713606426,-0.5027928306484727
10,"('sipu', 's1')",0.9879934658742926,0.9880079955432535,0.9940582290638863,0.7097125003394303,22435.4932820369,-0.3675949888731711
11,"('sipu', 's2')",0.7785562273032612,0.9087036827580979,0.8327640997375237,0.5272772882059074,7442.659458297839,-0.5392277425350736
12,"('sipu', 's3')",0.5593068101751522,0.7490543525276104,0.6274411369440764,0.3456395617352028,4655.551311029133,-0.7605004695308638
13,"('sipu', 's4')",0.46614184277682175,0.666368891824542,0.5378247940798218,0.21676339472228018,2404.567156225298,-0.8845957107354312
14,"('sipu', 'spiral')",1.0,1.0,1.0,0.0013443036684934106,5.797845205564439,-5.8820264163333364
15,"('sipu', 'unbalance')",0.7820159369401577,0.817725191545149,0.3537142857142857,0.44100940989037857,20803.709947834068,-0.8345457912336279
16,"('uci', 'ecoli')",0.6611253389168691,0.5901111107837512,0.39887255601541316,0.16320697241128398,82.77971690330507,-1.8041509861026146
17,"('uci', 'glass')",0.2185761494753686,0.36868586307923085,0.32453410011219336,0.390702244355125,67.81291215391198,-1.1759340293149179
18,"('uci', 'ionosphere')",-0.04452639486444035,0.06600006717041446,0.14857142857142858,0.23610735600722252,50.14209134498012,-1.288410528759201
19,"('uci', 'sonar')",0.006581874077350922,0.07590480268555348,0.15956162347914926,0.03297363124665477,5.638649933676544,-3.396533026011031
20,"('uci', 'statlog')",0.46575733110695994,0.6995991643077498,0.5060606060606062,0.11893018698426867,346.641772056714,-1.863396200720438
21,"('uci', 'wdbc')",0.2829798784255069,0.31562395180615405,0.40094339622641506,0.688409295796924,1070.9066027231138,-0.48029562125018466
22,"('uci', 'wine')",0.25340619741592213,0.3921771093903728,0.22033898305084743,0.5695779739274174,329.198802833206,-0.49512939376968435
23,"('uci', 'yeast')",0.08904350443892639,0.208425103974537,0.2586950045034772,0.052005882594772714,109.45565768028544,-1.756589584911086
24,"('fcps', 'atom')",1.0,1.0,1.0,0.31149300255148044,1.1598336099301678,-20.197949822213985
25,"('fcps', 'chainlink')",1.0,1.0,1.0,0.1666516457318623,250.86493232954078,-1.9903185594461685
26,"('fcps', 'engytime')",0.8124172785435686,0.7404708441288796,0.9013671875,0.4213681852510863,3122.148580499714,-0.9510452909643645
27,"('fcps', 'hepta')",1.0,1.0,1.0,0.7019232643413871,519.9375177851588,-0.355038569756824
28,"('fcps', 'lsun')",1.0,1.0,1.0,0.4774563781008524,384.43866488262984,-0.7089984793774091
29,"('fcps', 'target')",0.6505815212992789,0.6465049763186956,0.8253443526170798,0.5359760485985063,443.10509290834835,-0.7650853156924108
30,"('fcps', 'tetra')",1.0,1.0,1.0,0.505788934711956,418.39125415785816,-0.6626445556498228
31,"('fcps', 'twodiamonds')",0.9850375245509264,0.9681184461675113,0.9925000000000002,0.6297321926073488,2378.9946936630945,-0.5423255739793528
32,"('fcps', 'wingnut')",1.0,1.0,1.0,0.4482302358265913,1061.0164444544548,-0.8890184139267906
33,"('graves', 'dense')",0.9602000804038779,0.9291252238549085,0.98,0.6695995304725697,467.3628013422817,-0.4590172180565795
34,"('graves', 'fuzzyx')",0.3300541861152385,0.5810335309431631,0.5722734617279657,0.39389213549122715,858.3639220171324,-0.6142324778420944
35,"('graves', 'line')",1.0,1.0,1.0,0.1731360872551737,28.051297593505005,-1.2310424091912135
36,"('graves', 'parabolic')",0.8134185073633361,0.7417337952835875,0.9007265860060176,0.46972248356139024,1251.9179376274226,-0.8127660977501555
37,"('graves', 'ring')",1.0,1.0,1.0,0.26779105253868213,0.0015831456571041202,-660.85574628779
38,"('graves', 'ring_noisy')",1.0,1.0,1.0,0.266222265155309,0.019332961126080246,-189.53876762764503
39,"('graves', 'ring_outliers')",0.6900359610995582,0.6932977764139674,0.638,0.44934964195516214,380.92800848066486,-1.1246706110602218
40,"('graves', 'zigzag')",1.0,1.0,1.0,0.12409751714410708,30.652586627228136,-1.5733639036597682
41,"('graves', 'zigzag_noisy')",1.0,1.0,1.0,0.11147229935437344,30.858354705321815,-1.595795133520685
42,"('graves', 'zigzag_outliers')",1.0,1.0,1.0,0.1240976041274914,30.652559038117722,-1.5733644351275418
